OBJECTID,PC4,Aantal_adreslocaties,Aantal_multiparts,SHAPE_Length,SHAPE_Area
1074,3446,3681,2,0.14657428643697,0.000633828140100802
1075,3447,208,1,0.0485319672444211,0.000115927398496589
1076,3448,3966,2,0.205444134486019,0.000523960197452099
1077,3449,604,1,0.14550139990635,0.000324389406909431
4075,3450,0,0,0.0,0.0
1078,3451,5104,2,0.248314443316941,0.000921893564512358
1079,3452,5338,1,0.0891645705199259,0.000254374453148366
1080,3453,3424,1,0.0789240868798588,0.000219455129883067
1081,3454,5876,2,0.326392920109973,0.000988800262154287
1082,3455,223,1,0.159832848833373,0.000846983529368086
1083,3461,1686,1,0.251874838980333,0.00169223274513573
1084,3464,159,1,0.113129567398911,0.000666464749432774
1085,3465,814,1,0.141382964859533,0.000833318161032011
1086,3466,668,1,0.195105626843503,0.00113194098003107
1087,3467,286,1,0.136769746363458,0.000699736112021103
1088,3471,1706,1,0.319092112444078,0.00378514483318485
1089,3474,1068,1,0.250758999781326,0.00208246344686827
1090,3481,3782,1,0.297481317577939,0.00311587817582551
1091,3511,7037,1,0.0747259067429884,0.000168416732023697
1092,3512,5588,1,0.0674193987370678,0.000113502718069635
1093,3513,3729,2,0.038862172647317,6.8409279797475e-05
1094,3514,3681,1,0.0598432904248682,8.05262573872456e-05
1095,3515,3347,1,0.0450661258218457,6.4882069146726e-05
1096,3521,4213,4,0.0792603651409858,0.0001308782346906
1097,3522,4373,1,0.0644874441277739,9.54473166266113e-05
1098,3523,5945,1,0.0573212432743815,0.000146537516303993
1099,3524,5702,1,0.0972086118768155,0.000343374660061921
1100,3525,2770,3,0.0501671926556958,0.000102013377959693
1101,3526,7134,1,0.0946480715613826,0.00035815919277893
1102,3527,7159,3,0.0831606347146672,0.000213692631381373
1103,3528,184,1,0.101923184319153,0.000318664554125672
1104,3531,6005,2,0.0771644959458641,0.000113922181090848
1105,3532,3466,2,0.0732178164965423,8.82722049994816e-05
1106,3533,4200,1,0.0677805677658871,0.000176920257835122
1107,3534,813,1,0.0656107015743616,0.000141435078504549
1108,3541,5528,1,0.0728935502573433,0.000208618811865295
1109,3542,811,1,0.127715956352693,0.000683865909420133
1110,3543,5207,1,0.19018339817562,0.000627306980296761
1111,3544,9038,1,0.136123491218506,0.000423335180606248
1112,3545,745,1,0.194397254900848,0.000780522307703456
1113,3546,79,1,0.165773891703601,0.000753957203007473
1114,3551,3715,1,0.0630671838857744,8.78947598260041e-05
1115,3552,3931,2,0.0653311998476695,0.000112879422364624
1116,3553,3605,1,0.0496898516013167,7.68919517737847e-05
1117,3554,3438,1,0.064048917021238,9.68435487924346e-05
1118,3555,4416,1,0.0875667541510493,0.000168598893818603
1119,3561,4563,1,0.0615640405142576,0.000132715542953735
1120,3562,5225,1,0.078505153246717,0.000143167891271604
1121,3563,3972,3,0.0679487376120792,0.000146956596624237
1122,3564,4939,1,0.0598818486740083,0.000142686095001992
1123,3565,553,1,0.0681771847428192,0.000216964439515913
1124,3566,156,2,0.186364910012855,0.000356704470581925
1125,3571,4904,1,0.0737106077298305,0.000168961425936301
